model_index,model,model_family,submodel,version,count
5,gpt-4-0314,gpt,4,0314,
2,gpt-4-0613,gpt,4,0613,6165
0,gpt-4-1106-preview,gpt,4,1106-preview,7387
56,gpt4all-13b-snoozy,gpt4all,13b,snoozy,408
49,guanaco-33b,guanaco,33b,,684
21,koala-13b,koala,13b,,1598
54,llama-13b,llama,13b,,547
13,llama-2-13b-chat,llama,2-13b,chat,2607
10,llama-2-70b-chat,llama,2-70b,chat,3428
17,llama-2-7b-chat,llama,2-7b,chat,1793
50,llama2-70b-steerlm-chat,llama,2-70b,steerlm-chat,667
20,mistral-7b-instruct,mistral,7b,instruct,1617
63,mistral-7b-instruct-v0.2,mistral,7b,instruct-v0.2,100
12,mistral-medium,mistral,medium,,3315
8,mixtral-8x7b-instruct-v0.1,mixtral,8x7b,instruct-v0.1,3545
51,mpt-30b-chat,mpt,30b,chat,598
42,mpt-7b-chat,mpt,7b,chat,928
58,nous-hermes-2-mixtral-8x7b-dpo,nous-hermes,2-mixtral-8x7b,dpo,325
24,oasst-pythia-12b,oasst-pythia,12b,,1494
19,openchat-3.5,openchat,3.5,,1632
60,openchat-3.5-0106,openchat,3.5,0106,244
41,openhermes-2.5-mistral-7b,openhermes,2.5-mistral-7b,,952
16,palm-2,palm,2,,1977
29,pplx-70b-online,pplx,70b,online,1420
33,pplx-7b-online,pplx,7b,online,1250
38,qwen-14b-chat,qwen,14b,chat,1072
62,qwen1.5-4b-chat,qwen,1.5-4b,chat,200
53,qwen1.5-72b-chat,qwen,1.5-72b,chat,551
61,qwen1.5-7b-chat,qwen,1.5-7b,chat,208
44,solar-10.7b-instruct-v1.0,solar,10.7b,instruct-v1.0,899
48,stablelm-tuned-alpha-7b,stablelm,7b,tuned-alpha,771
37,starling-lm-7b-alpha,starling-lm,7b,alpha,1134
43,stripedhyena-nous-7b,stripedhyena-nous,7b,,914
34,tulu-2-dpo-70b,tulu,2-70b,dpo,1200
9,vicuna-13b,vicuna,13b,,3448
7,vicuna-33b,vicuna,33b,,3720
22,vicuna-7b,vicuna,7b,,1591
23,wizardlm-13b,wizardlm,13b,,1580
18,wizardlm-70b,wizardlm,70b,,1644
27,yi-34b-chat,yi,34b,chat,1447
55,zephyr-7b-alpha,zephyr,7b,alpha,412
15,zephyr-7b-beta,zephyr,7b,beta,2401
36,RWKV-4-Raven-14B,rwkv,4-14b,raven,1158
30,alpaca-13b,alpaca,13b,,1403
32,chatglm-6b,chatglm,6b,,1261
52,chatglm2-6b,chatglm,2-6b,,564
40,chatglm3-6b,chatglm,3-6b,,989
6,claude-1,claude,1,,3978
14,claude-2.0,claude,2.0,,2456
3,claude-2.1,claude,2.1,,5583
4,claude-instant-1,claude,1,instant,4136
26,codellama-34b-instruct,codellama,34b,instruct,1474
47,deepseek-llm-67b-chat,deepseek-llm,67b,chat,795
46,dolly-v2-12b,dolly,v2-12b,,800
57,dolphin-2.2.1-mistral-7b,dolphin,2.2.1-mistral-7b,,373
59,falcon-180b-chat,falcon,180b,chat,286
39,fastchat-t5-3b,fastchat,t5-3b,,1021
28,gemini-pro,gemini,pro,,1438
25,gemini-pro-dev-api,gemini,pro,dev-api,1486
45,gpt-3.5-turbo-0125,gpt,3.5,turbo-0125,861
31,gpt-3.5-turbo-0314,gpt,3.5,turbo-0314,1302
1,gpt-3.5-turbo-0613,gpt,3.5,turbo-0613,7083
11,gpt-3.5-turbo-1106,gpt,3.5,turbo-1106,3352
35,gpt-4-0125-preview,gpt,4,0125-preview,1160
